COURSES,TITLE,AUTHOR,ISBN,2018 - UP EDITION,,COPIES,Sub Total,Warehouse,SG Publisher
,"Medical-Surgical Nursing: Concepts for Interprofessional Collaborative Care, 2-Volume Set 10ed","Ignatavicius, Donna D.",9780323749787,2021," ₱19,738.00 ",5,"PHP 98,690.00",SG,Elsevier
,Medical-Surgical Nursing:  7ed,"Linton, Adrianne Dill",9780323676694,2020," ₱9,008.00 ",5,"PHP 45,040.00",SG,Saunders
,Medical-Surgical Nursing: Concepts & Practice 5ed,"Stromberg, Holly K.",9780323810227,2023," ₱11,268.00 ",5,"PHP 56,340.00",SG,Saunders
"Nursing Leadership and Management (4 units lec, 3 units lab)",,,,2021,,,,,
,Leadership Roles and Management Functions in Nursing: Theory and Applications,"Bessie L. Marquis, Carol Huston",9781975189808,,1208,5,"PHP 6,040.00",Philippines,
,Kelly Vana'S Nursing Leadership And Management Fourth Edition,Kelly,9781119596615,2021," ₱17,608.00 ",5,"PHP 88,040.00",SG,John & Wiley
,Appreciative Leadership: Building Sustainable Partnerships for Health,Malloch ,9781284203158 ,2022," ₱7,118.00 ",5,"PHP 35,590.00",SG,Jones & Bartlett
,Quality Improvement: A Guide for Integration in Nursing,Finkelman ,9781284206531 ,2022," ₱8,188.00 ",5,"PHP 40,940.00",SG,Jones & Bartlett
,Management and Leadership for Nurse Administrators,Roussel ,9781284249286 ,2023," ₱11,208.00 ",5,"PHP 56,040.00",SG,Jones & Bartlett
Decent Work Employment & Transcultural Nursing,"Transcultural Concepts in Nursing Care, International Edition",Andrews,9781975125431,2020," ₱9,358.00 ",5,"PHP 46,790.00",SG,Lippincott Williams & Wilkins
