Benedicto College ,,,,,,
Foreign References ,,,,,,
"As of March 16, 2023",,,,,,
,,,,,,
AUTHOR,TITLE,COPYRIGHT ,PUBLISHER,NO. OF COPIES,,
"Schultz, Fred (ed.)","Multicultural Education, 14th ed.",2008,McGraw-Hill ,1,,
"Padilla, Edward John C.",#1 English Major's Guide,2013,MET Review Publishing ,1,,
"Sliter, Rick",Cracking the CBest,1999,Princeton Review Publishing ,1,,
"Sherman, Jane",Feedback: Essential Writing Skills for Intermediate Students,1994,Oxford University Press ,1,,
"Bennett, Albert B. Jr.","Mathematics for Elementary Teachers: An Activity Approach, 7th ed.",2007,McGraw-Hill ,1,,
"Feldman, Robert S.","Power Learning, 4th ed.",2009,McGraw-Hill ,1,,
"Bretton, Henry L.",International Relations in the Nuclear Age,1986,State University of New York Press,2,,
,,,,,,
400-499,,,,,,
"Fromkin, Victoria ",Introduction to Linguistics ,2010,Cengage Learning ,1,,
"Nunan, David",Second Language Teaching & Learning ,2009,Cengage Learning ,1,,
"Elliot, Madelaine",English the Easy Way,1990,Nelson Canada,2,,
,Rightwriter: User's Manual,NC,Que Corporation ,1,,
"Clark, Lyn R.","Business English and Communication, 4th ed.",1990,McGraw-Hill ,3,,
"Bourdages, Johanne S.",Pleins Feux Sur La Compréhension,1992,"Holt, Rinehart and Winston",1,,
,,,,,,
500-599,,,,,,
NCTM,Professional Standards for Teaching Mathematics,1991,NCTM,1,Professional books ,NEED COPY(CHED) for evaluation
"Barnett, Raymond A.",College Mathematics with Technology ,1997,Prentice-Hall ,1,,
"Epp, Susanna S.",Discrete Mathematics ,2012,Cengage Learning ,1,,
"Wheeler, Ruric E.","Modern Mathematics, 9th ed.",1995,Brooks/Cole Publishing ,1,,
"Copi, Irving M.","Symbolic Logic, 5th ed.",1979,Macmillan Publishing ,2,,
"Rubin, Jean E.",Mathematical Logic: Applications and Theory,1990,Saunders,1,,
"Hart, William L.","Mathematics of Investment, 5th ed.",1975,D.C. Health and Company ,1,,
"Aufmann, Richard N.",Basic Mathematics ,2013,Cengage Learning ,1,,
"Johnsonbaugh, Richard ","Discrete Mathematics, 3rd ed.",1993,Macmillan ,2,,
