"Suyom, Lani M.",Breaking THROUGH GENERAL BIOLOGY ,2018,C & E Publ.,2,
"Morales-Ramos, Anna Cherylle",Exploring Life Through Science; GENERAL BIOLOGY 1,2017,Phoenix Publ.,1,
"Evangelista, Luisito T.",GENERAL BIOLOGY 1 ,2017,C & E Publ.,1,
"Giusppe, Maurice D.",BIOLOGY 11,2008,Thompson Nelson,1,
"Claveria, Florencia G.",GENERAL BIOGLOGY 1,2016,CHED,4,
"Duka, Ivan Marcelo A.",GENERAL BIOLOGY 2 ,2016,CHED,1,
,,,,,
COMPUTER PROGRAMMING /EMPOWERMENT TECHNOLOGIE,,,,,
"Lavina, Charlemagne Garcia",Outcomes-Based Practical Guide to Thesis and Capstone Project Writing in Computing,2022,"Mindshapers Co., Inc.",3,
"Penullar, Neil Oliver T.","HUMSS Fusion: Work Immersion, Research, Career Advocacy, Culminating Activity",2017,Phoenix  Publishing ,1,
"Melegrito, Ma. Lourdes F.","Zeal For Action: Community Engagement, Solidarity, and Citizenship",2016,Phoenix  Publishing ,1,
"Dela Cruz, Arleigh Ross D.","Application and Practice of Research for Senior High School: Inquiries, Investigation, and Immersion",2017,Phoenix  Publishing ,1,
"Semorlan, Ava Ann P.","Community Engagement, Solidarity, and Citizenship",2018,,1,
Jemma  Dev. Group,Empowerment Technology: Information  and Communications Technology in Business and Society,2017,Jemma Publishing ,1,
,"EMPOWERMENT TECHNOLOGIES: Innovative Training Works, 1st ed.",2016,Rex Book Store,2,
"Yuvienco, Joel C.",EMPOWERMENT TECHNOLOGIES: Making small Shifts towards a BIG Difference,2017,C & E Publishing ,1,
"Callo, Erwin Reyes",Empowerment Technologies,2017,Sibs Publishing,1,
,"COMPUTER PROGRAMMING Volume I: Innovative Training Works, 1st ed.",2016,Rex Book Store,1,
,"ANIMATION Volume I: Innovative Training Works, 1st ed.",2016,Rex Book Store,1,
,"COMPUTER PROGRAMMING Volume II: Innovative Training Works, 1st ed.",2017,Rex Book Store,1,
"Valdivia, John Christian B.",Technical vocational livelihood: Programming ORACLE Database,2016,Phoenix Publishing ,1,
Jemma Dev. Group,VisuaL Guide: Microsoft Excel 2016,2018,Jemma Inc.,1,
Jemma Dev. Group, Empowerment Techonology: Information and Communications Technology in Business and Society,2017,Jemma Inc.,1,
"Delfinado, Cecil Jose A.",Data Strucures and Algorithms,2016,C & E Publishing ,1,
"Pomperada, Jake R.",INTRODUCTION TO JAVA PROGRAMMING: REVISED EDITION,2018,Mindshapers ,1,
,,,,,
"Burderos, Maria Luisa K. ","Think, Click & Share: A Comprehensive Worktext in Media and Information Literacy",2017,SoLINE Publishing ,1,
"Campos, Patrick F.",From Cave to  Cloud; MEDIA  AND INFORMATION LITERACY FOR  TODAY,2016,Phoenix  Publishing ,3,
"Zarate, Maria Jovita E.",Media And Information Literacy,2016,Rex Book Store,2,
"Pitagan, Ferdinand B.",Media And Information Literacy,2016,CHED,1,
"Yuvienco, Joel C.",Media And Information Literacy; Being B.E.S.T Digital Citizen for Senior High School,2017,C & E Publishing ,2,
